1,아이언맨,영웅,"비행, 에너지발사, 자비스 일 시키기",미국,마블,44,2007-09-02
2,캡틴 아메리카,영웅,"숨가쁜 디딤돌 던지기, 강력한 힘, 고양이 보호하기",미국,마블,98,1968-06-09
3,토르,영웅,"망치로 적들 때리기, 번개 날리기",아스가르드,마블,1500,2016-07-11
4,스파이더맨,영웅,"거미줄로 움직이기, 벽타기, 스파이더센스",미국,마블,20,1990-07-21
5,블랙 위도우,영웅,"검술, 근접전투, 모든 언어 구사",러시아,마블,35,1999-07-29
6,데어데블,영웅,"초음파로 상대 위치 파악, 무장 해제",미국,마블,32,1973-03-05
7,헐크,영웅,"힘과 크기 변화, 강인한 육체",미국,마블,49,2006-04-03
8,블랙팬서,영웅,"기계장치 장착, 팬서 슈트 착용",왜곡의 나라 와칸다,마블,32,1971-01-09
9,캣우먼,영웅,"유연한 몸놀림, 도둑질, 높은 점프력",미국,DC,28,1951-12-17
10,슈퍼맨,영웅,"비행, 초인적인 힘, 열광적인 팬들",미국,DC,38,1952-06-06
11,배트맨,영웅,"검술, 체력 단련, 몰입력",미국,DC,42,1991-05-19
12,플래시,영웅,"초고속 이동, 시간 조작",미국,DC,27,1967-07-04
13,아쿠아맨,영웅,"수중 생활 적응, 강력한 힘",아틀란티스,DC,37,2021-07-05
14,원더우먼,영웅,"초인적인 체력, 무기 사용",아마조니아,DC,500,1958-07-30
15,샤직,영웅,"밤의 추적자, 소리 없는 발걸음, 늑대와 대화하기",미국,DC,32,1972-04-20
16,슈퍼걸,영웅,"비행, 초인적인 힘, 슈퍼맨의 사촌 여동생",미국,DC,24,2011-08-30
17,빅 토머스,영웅,"큰 몸집, 강력한 힘, 전기 방출",미국,DC,44,1977-11-16
18,그린 랜턴,영웅,"파워 링으로 무기 생성, 힘의 추출",미국,DC,34,2022-08-16
19,메라,영웅,"물의 힘으로 공격, 수중생활",아틀란티스,DC,28,1960-04-21
20,바트런더,영웅,"술을 마셔도 괜찮은 능력, 냉철한 분석력",미국,DC,35,1965-01-14
21,크립톤,영웅,"강력한 힘, 비행, 열광적인 팬들",크립톤,DC,38,1979-01-29
22,존 컨스탄틴,영웅,"헬블레이저, 능력자, 요술",영국,DC,36,1963-07-01
23,하이브마인드,영웅,"컴퓨터 제어, 기계 제어, 초능력자 제어",미국,DC,23,1960-05-14
24,메탈로,악당,"금속 재질로 된 몸, 열광적인 팬들",미국,DC,45,2000-10-16
